"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 15 19:14:04 MSK 2023","Sun Jan 15 19:14:06 MSK 2023","2478","","praktikum.LoginPageTest","","praktikum.LoginPageTest","loginUsingAccountButtonTest","Вход через кнопку «Личный кабинет»",""
"passed","Sun Jan 15 19:14:13 MSK 2023","Sun Jan 15 19:14:16 MSK 2023","2418","","praktikum.LoginPageTest","","praktikum.LoginPageTest","loginUsingForgotPasswordButtonTest","Вход через кнопку в форме восстановления пароля.",""
"passed","Sun Jan 15 19:13:34 MSK 2023","Sun Jan 15 19:13:36 MSK 2023","1587","","praktikum.ConstructorTest","","praktikum.ConstructorTest","switchToConstructorTest","Переход в личный кабинет и возврат в конструктор",""
"passed","Sun Jan 15 19:13:38 MSK 2023","Sun Jan 15 19:13:42 MSK 2023","3788","","praktikum.LogOutTest","","praktikum.LogOutTest","switchToAccountTest","Выход по кнопке «Выйти» в личном кабинете.",""
"passed","Sun Jan 15 19:14:00 MSK 2023","Sun Jan 15 19:14:04 MSK 2023","3198","","praktikum.RegistrationPageTest","","praktikum.RegistrationPageTest","registrationUsingAccountButtonTest","Регистрация нового пользователя",""
"passed","Sun Jan 15 19:13:11 MSK 2023","Sun Jan 15 19:13:29 MSK 2023","18036","","praktikum.ConstructorTest","","praktikum.ConstructorTest","moveBetweenTabsTest","Конструктор: переходы к разделам",""
"passed","Sun Jan 15 19:13:36 MSK 2023","Sun Jan 15 19:13:38 MSK 2023","1939","","praktikum.ConstructorTest","","praktikum.ConstructorTest","switchToConstructorByLogoClickTest","Переход в личный кабинет и возврат в конструктор по клику на логотип",""
"passed","Sun Jan 15 19:13:47 MSK 2023","Sun Jan 15 19:13:55 MSK 2023","8691","","praktikum.RegistrationPageTest","","praktikum.RegistrationPageTest","registrationWithIncorrectPasswordTest","Регистрация нового пользователя с невалидным паролем",""
"passed","Sun Jan 15 19:14:16 MSK 2023","Sun Jan 15 19:14:18 MSK 2023","2278","","praktikum.LoginPageTest","","praktikum.LoginPageTest","loginUsingRegistrationButtonTest","Вход через кнопку в форме регистрации",""
"passed","Sun Jan 15 19:14:11 MSK 2023","Sun Jan 15 19:14:13 MSK 2023","2194","","praktikum.LoginPageTest","","praktikum.LoginPageTest","loginUsingSignInButtonTest","Вход по кнопке «Войти в аккаунт» на главной",""
